MSFT	Microsoft Corporation	2,968.42B	399.16	0.01%	227.58B
730	AGIO	Agios Pharmaceuticals, Inc.	1.67B	29.99	1.56%	26.82M
731	CENX	Century Aluminum Company	1.67B	18.02	0.70%	2.19B
732	SITM	SiTime Corporation	1.67B	72.97	-0.64%	143.99M
733	MYGN	Myriad Genetics, Inc.	1.66B	18.51	0.03%	753.20M
734	NMRK	Newmark Group, Inc.	1.66B	9.59	0.16%	2.47B
735	TRMK	Trustmark Corporation	1.66B	27.08	1.31%	735.26M
736	CNXN	PC Connection, Inc.	1.66B	62.81	-0.02%	2.85B
737	NWGL	Nature Wood Group Limited	1.65B	14.70	-1.71%	55.34M
738	SUPN	Supernus Pharmaceuticals, Inc.	1.65B	30.08	2.31%	607.52M
739	NBTB	NBT Bancorp Inc.	1.65B	34.95	0.98%	495.12M
740	TWST	Twist Bioscience Corporation	1.65B	28.81	3.08%	262.36M
741	MRCY	Mercury Systems, Inc.	1.64B	27.57	-1.48%	895.17M
742	MXL	MaxLinear, Inc.	1.63B	19.90	1.27%	693.26M
743	UFPT	UFP Technologies, Inc.	1.63B	213.89	2.87%	400.07M
744	PLAB	Photronics, Inc.	1.62B	25.69	1.46%	897.32M
745	RXRX	Recursion Pharmaceuticals, Inc.	1.62B	7.53	2.45%	44.58M
746	AMRX	Amneal Pharmaceuticals, Inc.	1.62B	5.25	-3.14%	2.39B
747	INBX	Inhibrx, Inc.	1.62B	34.21	-0.34%	1.80M
748	POWL	Powell Industries, Inc.	1.62B	135.52	3.97%	766.47M
749	NMRA	Neumora Therapeutics, Inc.	1.62B	10.26	0.79%	-
750	TFIN	Triumph Financial, Inc.	1.61B	69.25	0.58%	399.40M
751	LKFN	Lakeland Financial Corporation	1.61B	62.04	0.63%	241.04M
752	UDMY	Udemy, Inc.	1.60B	10.15	2.27%	728.94M
753	HWKN	Hawkins, Inc.	1.60B	76.28	2.21%	924.29M
754	NEXT	NextDecade Corporation	1.59B	6.20	1.39%	-
755	PRFT	Perficient, Inc.	1.57B	45.00	0.45%	906.54M
756	BANR	Banner Corporation	1.57B	45.73	1.76%	609.63M
757	THRM	Gentherm Incorporated	1.57B	49.78	-0.42%	1.47B
758	ROIC	Retail Opportunity Investments Corp.	1.57B	12.34	0.49%	327.73M
759	ACMR	ACM Research, Inc.	1.56B	25.65	2.60%	557.72M
760	ADUS	Addus HomeCare Corporation	1.56B	96.00	-1.22%	1.06B
761	DVAX	Dynavax Technologies Corporation	1.56B	11.92	1.02%	232.28M
762	AVDL	Avadel Pharmaceuticals plc	1.56B	17.26	-0.40%	27.96M
763	PTGX	Protagonist Therapeutics, Inc.	1.55B	26.67	4.14%	60.00M
764	OCSL	Oaktree Specialty Lending Corporation	1.55B	19.60	-0.71%	398.09M
765	DSGR	Distribution Solutions Group, Inc.	1.55B	33.06	0.49%	1.57B
766	UPWK	Upwork Inc.	1.54B	11.27	1.26%	689.14M
767	CHCO	City Holding Company	1.54B	104.20	1.16%	286.63M
768	LILA	Liberty Latin America Ltd.	1.54B	7.48	2.54%	4.51B
769	EXPI	eXp World Holdings, Inc.	1.54B	10.03	1.83%	4.28B
770	LILAK	Liberty Latin America Ltd.	1.53B	7.47	2.89%	4.51B
771	AFYA	Afya Limited	1.53B	16.34	2.00%	590.54M
772	VICR	Vicor Corporation	1.53B	34.48	1.80%	405.06M
773	HOLI	Hollysys Automation Technologies Ltd.	1.52B	24.50	-0.20%	786.22M
774	NSSC	Napco Security Technologies, Inc.	1.52B	40.97	2.36%	177.41M
775	ARDX	Ardelyx, Inc.	1.51B	6.50	0.31%	124.46M
776	MTTR	Matterport, Inc.	1.51B	4.86	179.31%	157.75M
777	ULCC	Frontier Group Holdings, Inc.	1.51B	6.77	-2.80%	3.59B
778	HTLF	Heartland Financial USA, Inc.	1.51B	35.17	1.06%	558.60M
779	ZLAB	Zai Lab Limited	1.50B	15.19	7.96%	266.72M
780	EFSC	Enterprise Financial Services Corp	1.50B	39.99	0.78%	594.71M
781	GCT	GigaCloud Technology Inc.	1.50B	36.68	5.72%	703.83M
782	VCYT	Veracyte, Inc.	1.49B	19.88	2.21%	361.05M
783	STER	Sterling Check Corp.	1.49B	15.19	1.37%	719.64M
784	BENF	Beneficient	1.48B	4.11	4.72%	-160.64M
785	SGML	Sigma Lithium Corporation	1.48B	13.62	2.02%	129.93M
786	ADMA	ADMA Biologics, Inc.	1.48B	6.40	1.99%	258.22M
787	GSHD	Goosehead Insurance, Inc	1.47B	58.52	1.23%	261.28M
788	XPEL	XPEL, Inc.	1.47B	53.14	0.38%	396.29M
789	KURA	Kura Oncology, Inc.	1.46B	19.14	9.18%	-
790	EYE	National Vision Holdings, Inc.	1.46B	18.55	-1.25%	2.13B
791	IAS	Integral Ad Science Holding Corp.	1.45B	9.11	-	474.37M
792	TTMI	TTM Technologies, Inc.	1.45B	14.23	1.28%	2.23B
793	EVBG	Everbridge, Inc.	1.45B	34.91	0.07%	448.79M
794	SKWD	Skyward Specialty Insurance Group, Inc.	1.45B	36.13	-0.32%	885.97M
795	ADV	Advantage Solutions Inc.	1.44B	4.50	3.93%	4.22B
796	INMD	InMode Ltd.	1.44B	17.04	-2.15%	492.05M
797	KALU	Kaiser Aluminum Corporation	1.44B	89.88	0.44%	3.09B
798	OPEN	Opendoor Technologies Inc.	1.44B	2.12	-2.53%	6.95B
799	NVEE	NV5 Global, Inc.	1.43B	90.12	0.09%	861.74M
800	AMWD	American Woodmark Corporation	1.43B	90.54	0.38%	1.88B
801	CSGS	CSG Systems International, Inc.	1.43B	49.01	0.22%	1.17B
802	MORF	Morphic Holding, Inc.	1.43B	28.56	2.02%	521.00K
803	SHLS	Shoals Technologies Group, Inc.	1.43B	8.42	1.51%	488.94M
804	NWBI	Northwest Bancshares, Inc.	1.42B	11.18	0.45%	526.63M
805	EWTX	Edgewise Therapeutics, Inc.	1.42B	15.17	-0.39%	-
806	AKRO	Akero Therapeutics, Inc.	1.42B	20.63	-0.63%	-
807	AVPT	AvePoint, Inc.	1.42B	7.71	0.26%	271.83M
808	IMKTA	Ingles Markets, Incorporated	1.41B	76.05	0.94%	5.88B
809	GPRE	Green Plains Inc.	1.40B	21.85	-1.73%	3.30B
810	LMAT	LeMaitre Vascular, Inc.	1.40B	62.85	-0.65%	193.48M
811	EXTR	Extreme Networks, Inc.	1.40B	10.86	-1.00%	1.35B
812	NTCT	NetScout Systems, Inc.	1.40B	19.66	1.18%	834.11M
813	ANIP	ANI Pharmaceuticals, Inc.	1.39B	66.15	1.02%	486.82M
814	FBNC	First Bancorp	1.38B	33.39	3.34%	386.34M
815	GYRE	Gyre Therapeutics, Inc.	1.38B	16.05	3.48%	113.45M
816	TBLA	Taboola.com Ltd.	1.37B	4.04	2.28%	1.44B
817	COHU	Cohu, Inc.	1.37B	29.06	0.96%	636.32M
818	DMLP	Dorchester Minerals, L.P.	1.37B	34.69	2.54%	163.80M
819	WINA	Winmark Corporation	1.37B	390.12	1.68%	82.83M
820	PWP	Perella Weinberg Partners	1.36B	15.75	3.01%	648.65M
821	BMBL	Bumble Inc.	1.34B	10.35	1.62%	1.05B
822	FDMT	4D Molecular Therapeutics, Inc.	1.34B	26.19	3.72%	20.72M
823	DCBO	Docebo Inc.	1.34B	44.10	-0.88%	180.84M
824	MRTN	Marten Transport, Ltd.	1.34B	16.42	-0.88%	1.13B
825	SYBT	Stock Yards Bancorp, Inc.	1.33B	45.25	-0.09%	325.76M
826	FWRG	First Watch Restaurant Group, Inc.	1.33B	21.93	-1.66%	891.55M
827	DAWN	Day One Biopharmaceuticals, Inc.	1.32B	15.15	1.27%	-
828	COCO	The Vita Coco Company, Inc.	1.31B	23.12	-1.11%	493.61M
829	MCRI	Monarch Casino & Resort, Inc.	1.31B	69.16	2.70%	501.48M
830	HOPE	Hope Bancorp, Inc.	1.31B	10.90	1.63%	542.34M
831	CBRL	Cracker Barrel Old Country Store, Inc.	1.31B	59.13	0.72%	3.43B
832	TLRY	Tilray Brands, Inc.	1.30B	1.70	-1.73%	743.25M
833	AHCO	AdaptHealth Corp.	1.30B	9.54	2.09%	3.20B
834	NMFC	New Mountain Finance Corporation	1.30B	12.62	0.52%	374.84M
835	CHEF	The Chefs' Warehouse, Inc.	1.29B	32.60	0.56%	3.43B
836	CASH	Pathward Financial, Inc.	1.29B	50.61	0.43%	659.96M
837	OMCL	Omnicell, Inc.	1.29B	28.08	0.90%	1.15B
838	APOG	Apogee Enterprises, Inc.	1.28B	58.20	0.43%	1.40B
839	ESTA	Establishment Labs Holdings Inc.	1.28B	47.09	-0.61%	165.15M
840	BUSE	First Busey Corporation	1.28B	23.09	1.23%	439.44M
841	LGND	Ligand Pharmaceuticals Incorporated	1.28B	72.13	-0.47%	-
842	GIII	G-III Apparel Group, Ltd.	1.27B	28.00	1.28%	3.10B
843	NVCR	NovoCure Limited	1.27B	11.91	-1.53%	509.34M
844	VRNA	Verona Pharma plc	1.27B	15.82	0.64%	-
845	SRCE	1st Source Corporation	1.27B	50.48	0.94%	363.40M
846	ACDC	ProFrac Holding Corp.	1.27B	7.96	-1.85%	2.63B
847	IRWD	Ironwood Pharmaceuticals, Inc.	1.27B	8.11	2.40%	442.74M
848	WABC	Westamerica Bancorporation	1.26B	47.29	1.09%	324.80M
849	UNIT	Uniti Group Inc.	1.26B	5.27	-0.75%	1.15B
850	KFRC	Kforce Inc.	1.26B	64.46	1.42%	1.53B
851	TRVG	trivago N.V.	1.26B	2.60	1.17%	538.92M
852	CIFR	Cipher Mining Inc.	1.26B	4.26	10.81%	-
853	OPRA	Opera Limited	1.26B	14.37	3.01%	396.83M
854	OSW	OneSpaWorld Holdings Limited	1.24B	12.37	0.57%	794.05M
855	SEAT	Vivid Seats Inc.	1.24B	5.90	0.08%	712.88M
856	TARS	Tarsus Pharmaceuticals, Inc.	1.24B	32.91	1.45%	17.45M
857	SAFT	Safety Insurance Group, Inc.	1.23B	82.95	1.18%	930.96M
858	CLMT	Calumet Specialty Products Partners, L.P.	1.22B	15.21	1.54%	4.18B
859	SLNO	Soleno Therapeutics, Inc.	1.22B	37.55	0.12%	-
860	PCRX	Pacira BioSciences, Inc.	1.22B	26.16	-0.34%	674.98M
861	VSEC	VSE Corporation	1.21B	77.12	1.90%	860.49M
862	KNSA	Kiniksa Pharmaceuticals, Ltd.	1.21B	17.16	1.45%	270.26M
863	MMAT	Meta Materials Inc.	1.21B	2.57	-0.19%	7.97M
864	PLYA	Playa Hotels & Resorts N.V.	1.21B	8.99	-0.06%	977.50M
865	DCPH	Deciphera Pharmaceuticals, Inc.	1.21B	15.00	2.25%	163.36M
866	KRUS	Kura Sushi USA, Inc.	1.21B	107.89	-0.08%	212.93M
867	SYRE	Spyre Therapeutics, Inc.	1.20B	33.45	3.19%	886.00K
868	MGNI	Magnite, Inc.	1.19B	8.53	0.83%	619.71M
869	ICHR	Ichor Holdings, Ltd.	1.19B	36.07	-2.17%	811.12M
870	CMCO	Columbus McKinnon Corporation	1.19B	41.22	0.61%	1.00B
871	STBA	S&T Bancorp, Inc.	1.19B	30.98	1.67%	389.14M
872	GDS	GDS Holdings Limited	1.18B	6.42	1.50%	1.40B
873	AMPL	Amplitude, Inc.	1.17B	9.56	1.06%	276.28M
874	PRDO	Perdoceo Education Corporation	1.15B	17.57	1.36%	710.00M
875	FORTY	Formula Systems (1985) Ltd.	1.15B	75.00	0.67%	2.62B
876	ALGT	Allegiant Travel Company	1.15B	62.30	-0.02%	2.51B
877	PRTA	Prothena Corporation plc	1.14B	21.30	0.64%	91.37M
878	JBSS	Sanfilippo (John B.) & Son, Inc	1.14B	98.94	0.78%	998.08M
879	ABCL	AbCellera Biologics Inc.	1.14B	3.89	0.39%	38.03M
880	PDFS	PDF Solutions, Inc.	1.14B	29.45	-0.39%	165.84M
881	FBYD	Falcon's Beyond Global, Inc.	1.14B	8.33	-6.23%	22.85M
882	TCBK	TriCo Bancshares	1.13B	34.05	1.40%	394.09M
883	SOUN	SoundHound AI, Inc.	1.13B	3.66	2.96%	45.87M
884	MIRM	Mirum Pharmaceuticals, Inc.	1.13B	24.31	2.08%	186.37M
885	JACK	Jack in the Box Inc.	1.13B	57.97	-2.80%	1.65B
886	BASE	Couchbase, Inc.	1.13B	22.99	0.39%	180.04M
887	MNKD	MannKind Corporation	1.13B	4.19	0.12%	198.96M
888	GTI	Graphjet Technology Sdn. Bhd.	1.13B	7.70	14.07%	-
889	CRCT	Cricut, Inc.	1.12B	5.19	-1.61%	765.15M
890	PFBC	Preferred Bank	1.12B	75.22	1.24%	351.76M
891	SRRK	Scholar Rock Holding Corporation	1.12B	14.05	1.44%	-
892	XNCR	Xencor, Inc.	1.12B	18.33	-0.27%	168.34M
893	COLL	Collegium Pharmaceutical, Inc.	1.12B	34.95	0.32%	566.77M
894	VBTX	Veritex Holdings, Inc.	1.11B	20.43	2.05%	377.75M
895	CRSR	Corsair Gaming, Inc.	1.11B	10.77	0.47%	1.46B
896	VIR	Vir Biotechnology, Inc.	1.11B	8.21	3.27%	86.18M
897	PUBM	PubMatic, Inc.	1.10B	21.94	1.53%	267.01M
898	INFN	Infinera Corporation	1.10B	4.74	0.42%	1.65B
899	TH	Target Hospitality Corp.	1.10B	10.99	0.83%	563.61M
900	BLBD	Blue Bird Corporation	1.09B	33.94	-	1.21B
901	ADEA	Adeia Inc.	1.09B	10.06	1.21%	388.79M
902	CSWC	Capital Southwest Corporation	1.09B	25.32	1.04%	168.90M
903	ATRC	AtriCure, Inc.	1.09B	22.53	-2.89%	399.25M
904	VITL	Vital Farms, Inc.	1.08B	25.83	2.34%	471.86M
905	TRS	TriMas Corporation	1.08B	26.26	0.77%	893.55M
906	HLIT	Harmonic Inc.	1.08B	9.63	-0.52%	607.91M
907	DGII	Digi International Inc.	1.07B	29.60	0.99%	441.63M
908	SSRM	SSR Mining Inc.	1.07B	5.27	-1.31%	1.43B
909	MOMO	Hello Group Inc.	1.07B	5.71	2.15%	1.69B
910	EH	EHang Holdings Limited	1.07B	16.87	-3.53%	16.56M
911	IMTX	Immatics N.V.	1.06B	10.27	0.59%	60.00M
912	SLN	Silence Therapeutics plc	1.05B	22.68	0.15%	32.12M
913	SCSC	ScanSource, Inc.	1.05B	41.80	1.01%	3.59B
914	GOGO	Gogo Inc.	1.04B	8.18	-2.10%	397.58M
915	NRDS	NerdWallet, Inc.	1.04B	13.38	0.53%	599.40M
916	ARQT	Arcutis Biotherapeutics, Inc.	1.03B	8.99	-1.26%	59.61M
917	CNTA	Centessa Pharmaceuticals plc	1.03B	10.40	-1.61%	6.85M
918	CRAI	CRA International, Inc.	1.03B	148.38	1.87%	623.98M
919	LQDA	Liquidia Corporation	1.03B	13.52	1.69%	17.49M
920	ANGI	Angi Inc.	1.02B	2.04	0.99%	1.36B
921	PTON	Peloton Interactive, Inc.	1.02B	2.93	-3.30%	2.73B
922	BLTE	Belite Bio, Inc	1.02B	34.40	2.90%	-
923	PEBO	Peoples Bancorp Inc.	1.02B	28.78	1.02%	411.61M
924	ENVX	Enovix Corporation	1.02B	6.01	-4.07%	7.64M
925	SVC	Service Properties Trust	1.01B	6.12	2.26%	1.87B
926	IMOS	ChipMOS TECHNOLOGIES INC.	1.01B	27.69	-0.43%	694.96M
927	SCRM	Screaming Eagle Acquisition Corp.	1.01B	10.78	-0.19%	-
928	ECPG	Encore Capital Group, Inc.	1.01B	42.84	0.33%	1.22B
929	SP	SP Plus Corporation	1.01B	50.74	0.12%	1.78B
930	SCHL	Scholastic Corporation	999.44M	35.97	0.81%	1.64B
931	MFIC	MidCap Financial Investment Corporation	994.79M	15.25	-0.39%	276.52M
932	NGMS	NeoGames S.A.	990.12M	29.44	-0.03%	191.54M
933	GABC	German American Bancorp, Inc.	988.72M	33.42	0.78%	248.14M
934	AMSF	AMERISAFE, Inc.	987.37M	51.58	1.38%	306.85M
935	GDEN	Golden Entertainment, Inc.	986.51M	34.48	1.50%	1.05B
936	LAB	Standard BioTools Inc.	986.35M	2.58	2.38%	106.34M
937	ABVX	Abivax SA	986.23M	15.68	2.45%	5.13M
938	TASK	TaskUs, Inc.	985.98M	11.15	-2.53%	924.37M
939	MRVI	Maravai LifeSciences Holdings, Inc.	983.70M	7.44	1.92%	288.95M
940	CVII	Churchill Capital Corp VII	981.57M	10.73	0.14%	-
941	RPAY	Repay Holdings Corporation	981.28M	9.62	-0.10%	296.63M
942	ASTE	Astec Industries, Inc.	977.97M	43.00	0.54%	1.34B
943	QCRH	QCR Holdings, Inc.	973.55M	57.98	1.07%	337.15M
944	BCYC	Bicycle Therapeutics plc	972.11M	22.91	-2.30%	26.98M
945	SABR	Sabre Corporation	958.22M	2.53	1.81%	2.91B
946	TRNS	Transcat, Inc.	957.96M	108.60	0.52%	250.64M
947	ALHC	Alignment Healthcare, Inc.	954.24M	5.00	-3.85%	1.82B
948	PRAA	PRA Group, Inc.	949.59M	24.15	-0.90%	802.55M
949	MGNX	MacroGenics, Inc.	948.43M	15.41	-1.31%	58.75M
950	SASR	Sandy Spring Bancorp, Inc.	946.89M	21.03	1.30%	439.19M
951	INVA	Innoviva, Inc.	943.35M	14.92	-0.20%	310.46M
952	GSM	Ferroglobe PLC	941.25M	5.04	0.60%	1.65B
953	CSIQ	Canadian Solar Inc.	936.57M	14.53	0.80%	7.61B
954	TRUP	Trupanion, Inc.	933.72M	22.34	-0.51%	1.11B
955	QNST	QuinStreet, Inc.	933.14M	17.01	1.25%	549.59M
956	MDXG	MiMedx Group, Inc.	932.73M	6.35	0.87%	321.48M
957	NN	NextNav Inc.	931.94M	8.30	1.72%	3.86M
958	ZNTL	Zentalis Pharmaceuticals, Inc.	931.71M	13.10	1.08%	-
959	SCVL	Shoe Carnival, Inc.	924.13M	34.05	2.71%	1.18B
960	BCRX	BioCryst Pharmaceuticals, Inc.	920.46M	4.46	0.68%	331.41M
961	CPLP	Capital Product Partners L.P.	919.17M	16.58	-1.89%	360.59M
962	SLP	Simulations Plus, Inc.	909.01M	45.48	0.71%	64.67M
963	PTLO	Portillo's Inc.	901.76M	12.37	2.15%	679.91M
964	OCFC	OceanFirst Financial Corp.	900.22M	15.27	0.59%	385.68M
965	ULH	Universal Logistics Holdings, Inc.	900.13M	34.14	1.90%	1.66B
966	WEST	Westrock Coffee Company, LLC	895.04M	10.20	-0.29%	864.71M
967	MNRO	Monro, Inc.	894.07M	29.85	0.90%	1.28B
968	SGH	SMART Global Holdings, Inc.	893.76M	17.11	1.12%	1.11B
969	VRDN	Viridian Therapeutics, Inc.	888.16M	14.15	-3.08%	314.00K
970	SAVA	Cassava Sciences, Inc.	886.76M	20.62	4.99%	-
971	HCSG	Healthcare Services Group, Inc.	882.63M	11.98	0.34%	1.67B
972	TILE	Interface, Inc.	882.33M	15.16	1.88%	1.26B
973	OLPX	Olaplex Holdings, Inc.	878.81M	1.33	-1.85%	458.30M
974	CRON	Cronos Group Inc.	877.03M	2.32	-2.32%	87.24M
975	HIMX	Himax Technologies, Inc.	873.02M	4.90	1.45%	945.43M
976	AMRK	A-Mark Precious Metals, Inc.	872.04M	37.47	-1.34%	10.00B
977	HIBB	Hibbett, Inc.	868.93M	73.62	3.49%	1.73B
978	OPK	OPKO Health, Inc.	867.76M	1.25	1.22%	863.50M
979	TCPC	BlackRock TCP Capital Corp.	867.04M	10.14	-0.78%	209.33M
980	RBCAA	Republic Bancorp, Inc.	861.40M	50.10	0.44%	312.61M
981	ETNB	89bio, Inc.	860.21M	9.22	1.49%	-
982	EYPT	EyePoint Pharmaceuticals, Inc.	859.08M	17.29	-2.07%	46.02M
983	CGBD	Carlyle Secured Lending, Inc.	855.90M	16.85	0.90%	241.63M
984	SBSI	Southside Bancshares, Inc.	854.82M	28.25	0.26%	241.71M
985	MSEX	Middlesex Water Company	853.30M	47.90	-0.21%	166.27M
986	DH	Definitive Healthcare Corp.	851.62M	7.25	2.62%	251.42M
987	KELYA	Kelly Services, Inc.	847.42M	24.06	1.48%	4.84B
988	INDI	indie Semiconductor, Inc.	846.48M	5.17	-3.64%	223.17M
989	PCT	PureCycle Technologies, Inc.	845.50M	5.13	-2.10%	-
990	BRKL	Brookline Bancorp, Inc.	844.05M	9.49	1.12%	333.44M
991	PHVS	Pharvaris N.V.	843.69M	20.69	7.99%	-
992	ATSG	Air Transport Services Group, Inc.	842.07M	12.78	1.11%	2.07B
993	LESL	Leslie's, Inc.	840.46M	4.55	2.13%	1.43B
994	KYTX	Kyverna Therapeutics, Inc.	838.59M	19.46	6.90%	-
995	KARO	Karooooo Ltd.	838.16M	26.87	-0.81%	215.12M
996	NKLA	Nikola Corporation	836.90M	0.63	-2.92%	35.84M
997	KELYB	Kelly Services, Inc.	834.05M	23.15	-	4.84B
998	MNDR	Mobile-health Network Solutions	833.00M	24.50	-10.16%	7.87M
999	LBAI	Lakeland Bancorp, Inc.	832.66M	12.72	6.44%	293.77M
1000	SLRC	SLR Investment Corp.	830.33M	15.23	0.63%	229.31M
